,nav,cost,slippage,tax,turnover,n_holdings
2004-07-29,3157451.1014599367,0.0,0.0,0.0,0.0,10
2004-07-30,3167394.2278068755,0.0,0.0,0.0,0.0,10
2004-08-02,3155654.7235805504,0.0,0.0,0.0,0.0,10
2004-08-03,3011948.6933598863,0.0,0.0,0.0,0.0,10
2004-08-04,3000947.564223287,0.0,0.0,0.0,0.0,10
2004-08-05,2994215.380828826,0.0,0.0,0.0,0.0,10
2004-08-06,2912353.336263139,0.0,0.0,0.0,0.0,10
2004-08-09,2928166.11593409,0.0,0.0,0.0,0.0,10
2004-08-10,3004001.2949453644,0.0,0.0,0.0,0.0,10
2004-08-11,2934427.0235298933,0.0,0.0,0.0,0.0,10
2004-08-12,2874997.9417574853,0.0,0.0,0.0,0.0,10
2004-08-13,2842127.951547737,0.0,0.0,0.0,0.0,10
2004-08-16,2844237.1400796534,0.0,0.0,0.0,0.0,10
2004-08-17,2871558.0766970017,0.0,0.0,0.0,0.0,10
2004-08-18,2996699.8172230083,0.0,0.0,0.0,0.0,10
2004-08-19,2953553.9478778387,0.0,0.0,0.0,0.0,10
2004-08-20,3025897.9847426848,0.0,0.0,0.0,0.0,10
2004-08-23,3057098.664632194,0.0,0.0,0.0,0.0,10
2004-08-24,3032391.0246917023,0.0,0.0,0.0,0.0,10
2004-08-25,3096442.254490767,0.0,0.0,0.0,0.0,10
2004-08-26,3103117.4876789716,0.0,0.0,0.0,0.0,10
2004-08-27,3094605.082328832,0.0,0.0,0.0,0.0,10
2004-08-30,3045703.6749057467,0.0,0.0,0.0,0.0,10
2004-08-31,3055626.9459413416,0.0,0.0,0.0,0.0,10
2004-09-01,3151118.2595165665,0.0,0.0,0.0,0.0,10
2004-09-02,3209122.3023609566,0.0,0.0,0.0,0.0,10
2004-09-03,3141679.5526611246,0.0,0.0,0.0,0.0,10
2004-09-07,3175113.150956516,0.0,0.0,0.0,0.0,10
2004-09-08,3174874.708172895,0.0,0.0,0.0,0.0,10
2004-09-09,3177440.1098725353,0.0,0.0,0.0,0.0,10
2004-09-10,3252444.2524429727,0.0,0.0,0.0,0.0,10
2004-09-13,3267504.4962041005,0.0,0.0,0.0,0.0,10
2004-09-14,3319689.296953841,0.0,0.0,0.0,0.0,10
2004-09-15,3286165.887704332,0.0,0.0,0.0,0.0,10
